ALTERNATIVE NF-KAPPAB PATHWAY	NFKAPPABALTERNATIVEPATHWAY	RELB,SSPO,NFKB2,NFKB1,CHUK,MAP3K14
AMB2 INTEGRIN SIGNALING	AMB2_NEUTROPHILS_PATHWAY	ITGAM,SELPLG,RAP1A,PLAU,NFKB1,LPA,PLG,SELP,MYH2,APOB,ICAM1,LYN,AKT1,TNF,MST1R,CTGF,FYN,ROCK1,TLN1,MST1,ITGB2,THY1,RHOA,SRC,MMP2,IL6,HCK,PLAUR,JAM3,RAP1B,BLK,LRP1,MMP9,AGER,JAM2,HMGB1,LCK,PRKCZ,YES1,FGR,PLAT
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	ANGIOPOIETINRECEPTOR_PATHWAY	AGTR1,MAPK8,PTK2,ANGPT2,TNF,CDKN1A,SHC1,MAPK1,GRB2,NCK1,PLD2,ITGA5,ANGPT4,PXN,RASA1,MAPK3,PLG,MAPK14,PTPN11,FYN,RAC1,AKT1,ITGB1,NOS3,TEK,CRK,STAT5A,FN1,FGF2,DOK2,ELF1,PIK3R1,STAT5B,RELA,GRB7,GRB14,BMX,ANGPT1,ELF2,F2,ELK1,TNIP2,RPS6KB1,NFKB1,MMP2,FES,ETS1,PAK1,PIK3CA,FOXO1
AP-1 TRANSCRIPTION FACTOR NETWORK	AP1_PATHWAY	IL2,FOSL2,BAG1,IFNG,MAFG,TH,DMP1,IL4,CCL2,NPPA,CYR61,DUSP1,SP1,FABP4,JUNB,TGFB1,ELF1,IL10,FOSB,ATF3,ETS1,NR3C1,TCF7L2,CRTC1,CSF2,HIF1A,ACTA1,ATF2,MYC,JUND,PENK,FOSL1,CDKN1B,EDN1,FOS,IL5,NTS,EP300,DMTF1,GJA1,JUN,COPS5,COL1A2,CBFB,HLA-A,CCND1,GATA2,IL8,CDK1,TIMP1,NFATC2,MAF,TP53,NFATC3,IL6,PLAU,BCL2L11,MMP9,TRIP6,MT2A,CREB1,MYB,MMP1,PTEN,CTNNB1,ESR1,NFATC1,CDKN2A,AGT,EGR1
ARF1 PATHWAY	ARF_3PATHWAY	CD4,CLTB,PLD2,ASAP1,PIP5K1A,CLTA,ARFIP2,ARF1,ARFGAP1,KDELR1,RAC1,AP2M1,COPA,USO1,GOSR2,AP2A1,CYTH2,GGA3,GBF1
ARF6 DOWNSTREAM PATHWAY	ARF6DOWNSTREAMPATHWAY	RAC1,PLAUR,MAPK3,NME1,ARF1,RHOA,PLD1,RAB11A,KALRN,RAB11FIP3,ARF6,MAPK1,PIP5K1A,PLD2,TIAM1
ARF6 SIGNALING EVENTS	ARF6_PATHWAY	CYTH3,EGF,TSHR,ARAP2,ITGA2B,HGF,GNA11,EFNA1,KIF13B,SRC,ARF6,ARRB1,ARRB2,FBXO8,ACAP1,EPHA2,GNA15,GNAQ,GNA14,ADAP1,ADRB2,CYTH2,AGTR1,MET,USP6,GULP1,EGFR,NCK1,IQSEC1,GIT1,ACAP2,ITGB3,LHCGR,PXN,IPCEF1
ARF6 TRAFFICKING EVENTS	ARF6_TRAFFICKINGPATHWAY	PIP5K1C,SLC2A4,DNM2,ARF6,ITGA2,ITGA1,NME1,EXOC6,MAPK8IP3,IL2RA,ITGB1,ITGA4,VAMP3,SPAG9,EXOC2,ITGA8,CPE,CTNNB1,ASAP2,EXOC4,PLD2,ITGA6,ITGA5,RALA,CTNNA1,ITGAV,PLD1,EXOC3,CTNND1,INS,TSHR,AGTR1,EDNRB,SCAMP2,ADRB2,ITGA3,ACAP1,ITGA9,CLTC,EXOC1,ITGA10,ITGA11,ITGA7,EXOC7,EXOC5,AVPR2,KLC1,CDH1,BIN1
ATF-2 TRANSCRIPTION FACTOR NETWORK	ATF2_PATHWAY	BCL2,CCNA2,PRKCA,HBG2,IL8,TH,DUSP5,H2AFY,GADD45A,COL24A1,PPARGC1A,KAT5,MAPK14,CSRP2,IL23A,NOS2,PDGFRA,JUN,ESR1,CREB1,RUVBL2,BRCA1,MAPK1,ATF2,EP300,MAPK3,SERPINB5,INS,MAPK9,DDIT3,DUSP1,ACHE,NF1,CCND1,CUL3,FOS,RB1,ARG1,IFNG,DUSP8,SELE,PLAU,MAPK8,CDK4,JDP2,MAPK11,JUNB,ATF3,DUSP10,POU2F1,MMP2,IL6,CBFB,BCL2L1,TGFB2,SOCS3,HES1,JUND,HRK
ATM PATHWAY	ATM_PATHWAY	ATM,H2AFX,CDC25A,ABL1,TERF2,TOP3A,CTBP1,MDC1,RFWD2,MDM2,CDC25C,UIMC1,BLM,RAD17,RNF8,BRCA1,KAT5,MRE11A,SMC3,RAD50,UBE2N,RBBP8,FANCD2,BID,XRCC4,YWHAB,NBN,DCLRE1C,SMC1A,TP53BP1,FAM175A,CHEK2,TRIM28,RAD9A
ATR SIGNALING PATHWAY	ATR_PATHWAY	HUS1,SSPO,CDC25C,FBXW11,MCM7,PPP2R1A,RPA2,CLSPN,CDC6,ATRIP,RAD17,FANCD2,RFC5,MCM2,MDM2,YWHAZ,SMARCAL1,RAD9A,CDC25A,RPA1,TIMELESS,PLK1,RFC3,YWHAB,TOPBP1,NBN,PPP2R2B,CDK2,RAD51,ATR,RAD1,RFC4,BRCA2,CHEK1,CCNA2,PPP2CA,TIPIN,RFC2,CEP164
ATYPICAL NF-KAPPAB PATHWAY	NFKAPPABATYPICALPATHWAY	PIK3CA,NFKB1,CSNK2B,SYK,CSNK2A1,PIK3R1,SSPO,MAPK14,LCK,NFKBIA,RELA,SRC,BCL3,IKBKB,ARRB2,REL,CSNK2A2
AURORA A SIGNALING	AURORA_A_PATHWAY	AKT1,FZR1,NDEL1,CDC25B,AURKAIP1,AURKA,MDM2,PAK1,BRCA1,PPP2R5D,GADD45A,CENPA,PRKACA,OAZ1,RASA1,AURKB,GIT1,TDRD7,TP53,TPX2,RAN,GSK3B,DLGAP5,CPEB1,ARHGEF7,BIRC5,TACC1,CKAP5,TACC3,NFKBIA,AJUBA
AURORA B SIGNALING	AURORA_B_PATHWAY	PPP1CC,KIF23,NCAPH,SGOL1,STMN1,AURKC,MYLK,SMC2,RHOA,BIRC5,KIF2C,NCL,CBX5,CDCA8,SEPT1,VIM,DES,KLHL9,RACGAP1,AURKA,INCENP,PSMA3,NSUN2,NCAPD2,RASA1,KLHL13,BUB1,NDC80,SMC4,NCAPG,AURKB,KIF20A,TACC1,PPP2R5D,PEBP1,CENPA,H3F3A,H3F3B,EVI5,CUL3,NPM1
AURORA C SIGNALING	AURORA_C_PATHWAY	AURKB,INCENP,H3F3A,H3F3B,AURKC
BARD1 SIGNALING EVENTS	BARD1PATHWAY	PRKDC,FANCC,FANCE,TOPBP1,NPM1,FANCD2,RAD50,ATR,NBN,FANCA,RAD51,EWSR1,ATM,MRE11A,BRCA1,FANCF,PCNA,TP53,XRCC5,XRCC6,BARD1,UBE2L3,UBE2D3,CCNE1,FANCL,CDK2,FANCG,CSTF1,RBBP8
BCR SIGNALING PATHWAY	BCR_5PATHWAY	IKBKG,BCL10,BLNK,PTPRC,HRAS,PAG1,PPP3CA,VAV2,CD19,NFKBIB,DAPP1,RASA1,BCL2A1,PDPK1,GRB2,DOK1,CD79A,PTPN6,SOS1,PTEN,MAPK3,AKT1,CHUK,CD72,MAPK8,PIK3CA,PPP3CC,MAP4K1,TRAF6,IKBKB,LYN,MAP3K7,CARD11,NFATC1,NFKB1,CALM1,CALM2,CALM3,CSNK2A1,PIK3R1,PPP3CB,CAMK2G,INPP5D,ETS1,CD22,FCGR2B,SH3BP5,MAP3K1,MAPK1,MAP2K1,JUN,RELA,IBTK,CSK,NFKBIA,SYK,ELK1,MALT1,SHC1,PLCG2,FOS,POU2F2,MAPK14,CD79B,RAC1,RAF1,BTK
BETA1 INTEGRIN CELL SURFACE INTERACTIONS	INTEGRIN1_PATHWAY	ITGA3,ITGA9,COL4A4,IGSF8,COL5A1,COL11A1,ITGA7,CD81,NID1,VTN,TGFBI,PLAU,LAMB1,COL4A1,ITGB1,COL7A1,LAMA4,LAMA1,ITGA5,COL6A2,THBS2,PLAUR,COL2A1,COL4A5,ITGA10,COL1A1,LAMA2,COL5A2,SPP1,COL18A1,LAMC1,ITGA4,COL4A3,VCAM1,CD14,COL3A1,THBS1,ITGA11,COL1A2,LAMC2,LAMA3,CSPG4,FGA,COL6A1,LAMB3,FBN1,MDK,FN1,ITGA1,VEGFA,ITGAV,COL4A6,LAMA5,FGB,COL6A3,TGM2,F13A1,ITGA2,LAMB2,JAM2,FGG,ITGA6,COL11A2,TNC,ITGA8,NPNT
BETA2 INTEGRIN CELL SURFACE INTERACTIONS	INTEGRIN2_PATHWAY	TGFBI,F10,FGG,FGA,FCGR2A,ITGAL,ICAM3,SPON2,KNG1,JAM3,CD40LG,GP1BA,C3,VCAM1,ITGAD,ICAM1,PLAU,ITGAM,ITGB2,PLAT,ITGAX,PLAUR,ICAM4,ICAM2,CYR61,F11R,FGB,PROC,THY1
BETA3 INTEGRIN CELL SURFACE INTERACTIONS	INTEGRIN3_PATHWAY	COL4A5,VEGFA,LAMB1,L1CAM,ITGA2B,CYR61,COL4A6,FGG,LAMA4,COL4A1,EDIL3,F11R,IBSP,PDGFB,FBN1,PDGFRB,FGB,FN1,COL4A3,SPHK1,TGFBR2,ITGB3,SPP1,COL1A1,COL1A2,LAMC1,TGFBI,TNC,PECAM1,PLAUR,VTN,PLAU,KDR,ITGAV,COL4A4,CD47,HMGB1,FGA,THY1,THBS1,SDC4,PVR,SDC1
BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS	INTEGRIN5_PATHWAY	VTN,MADCAM1,SDC1,ITGB6,FN1,EDIL3,ITGA4,VCAM1,PLAUR,ITGB5,CYR61,ITGB7,ITGAV,ITGB8,FBN1,PLAU,TGFBR1
BMP RECEPTOR SIGNALING	BMPPATHWAY	BMP4,SMURF2,SMAD5,PPP1R15A,MAP3K7,BMPR1A,TAB2,RGMA,BMP7,SMAD4,BMP6,SMURF1,CTDSP1,RGMB,SOSTDC1,FST,GREM1,SMAD6,XIAP,ZFYVE16,MAPK1,AHSG,BMP2,NUP214,SMAD1,HFE2,SMAD7,CER1,NOG,CTDSPL,BAMBI,BMPR1B,GSK3B,TAB1,PPP1CA,SKI,CHRD,CHRDL1,SMAD9,BMPR2,CTDSP2,PPM1A
C-MYB TRANSCRIPTION FACTOR NETWORK	CMYB_PATHWAY	YEATS4,SND1,ADA,GATA1,TAB1,CASP6,COPA,ATP2B1,LECT2,CDKN2A,SPI1,HRAS,UBE2I,ELANE,BIRC3,MYB,RAG2,BCL2,LEF1,SLC25A3,MYOD1,ZFHX3,CA1,SP1,GATA3,NCOR1,ETS1,TOM1,ADORA2B,PTCRA,TFEC,CREBBP,CDK6,CD4,CCNB1,CEBPD,CDKN1B,CLTA,SKI,HIPK2,GSTM1,MPO,SMARCA2,CEBPA,COL1A2,MAD1L1,PPP3CA,H2AFZ,CCNA1,IQGAP1,PAX5,MAF,TAB2,LYZ,PTGS2,NLK,PRTN3,SIN3A,ANPEP,PIAS3,NRAS,PIM1,KIT,CD34,CSF1R,CEBPB,EP300,HES1,ETS2,KITLG,TRIM28,MAT2A,ZFPM1,MAP3K7,WNT1,KRAS,MYC,HSPA8,MCM4,CCND1,MYF6,CDKN1A,PPID,CBX4
C-MYC PATHWAY	MYC_PATHWAY	PPP2R5A,PAK2,SKP2,KAT2A,TRRAP,RUVBL1,TAF12,TAF10,KAT5,RUVBL2,GSK3B,PPP2CA,MYC,SUPT7L,TAF9,HBP1,AXIN1,PML,MAX,PIN1,SUPT3H,CDKN2A,ZBTB17,ACTL6A,FBXW7
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	NFAT_TFPATHWAY	CREM,CTLA4,PTGS2,PRKCQ,CASP3,EGR1,IFNG,FOSL1,IL8,EGR2,PPARG,NFATC2,NFATC3,EGR3,TLE4,IL5,JUN,GBP3,CALM1,CALM2,CALM3,IL4,POU2F1,TBX21,CDK4,FOS,CSF2,SLC3A2,IL2,NFATC1,IRF4,BATF3,FASLG,TNF,FOXP3,IL2RA,PTPRK,EGR4,DGKA,JUNB,E2F1,RNF128,IKZF1,IL3,PTPN1,MAF,GATA3,ITCH,CBLB,CD40LG
CALCIUM SIGNALING IN THE CD4+ TCR PATHWAY	TCRCALCIUMPATHWAY	PPP3CA,CD40LG,CHP1,NFATC3,JUNB,POU2F1,RCAN1,AKAP5,PTGS2,FOS,CABIN1,BATF3,PPP3R1,PPP3CB,IL2,FASLG,NFATC1,NFATC2,IL2RA,IL3,JUN,CSF2,CALM1,CALM2,CALM3,IL4,FOSL1,FKBP1A,CREM,PRKACA,IFNG,RCAN2
CANONICAL NF-KAPPAB PATHWAY	NFKAPPABCANONICALPATHWAY	CYLD,UBE2D3,TNFAIP3,NFKBIA,XPO1,MALT1,BIRC2,TRAF6,NOD2,PRKCA,RELA,RAN,TNF,IKBKG,NFKB1,SSPO,IKBKB,RIPK2,BCL10,CHUK,ATM,ERC1,TNFRSF1A
CANONICAL WNT SIGNALING PATHWAY	WNT_CANONICAL_PATHWAY	LRP6,GSK3A,AXIN1,CUL3,WNT3A,DVL3,GSK3B,FZD5,PPP2R5A,CSNK1G1,DVL1,PI4K2A,CTNNB1,DVL2,APC,NKD2,PIP5K1B,RANBP3,KLHL12,CAV1
CASPASE CASCADE IN APOPTOSIS	CASPASE_PATHWAY	BID,KRT18,ACTA1,TRAF2,TOP1,DFFB,TNFSF10,CASP9,BIRC3,RIPK1,SATB1,PRF1,GAS2,CASP10,TNFRSF1A,GSN,VIM,FASLG,CASP2,TNFRSF10A,CRADD,GZMB,LMNB2,NUMA1,LMNB1,SREBF1,LIMK1,CASP3,DFFA,BAX,PARP1,CRMA,PIDD,AKT1,CASP8,CASP6,CFL2,FADD,BCL2L1,APAF1,ARHGDIB,CYCS,MAP3K1,PTK2,SPTAN1,TNF,XIAP,BCL2,LMNA,APP,TRADD,SLK,TFAP2A,DIABLO,CASP7,TNFRSF10B,MADD,FAS
CD40/CD40L SIGNALING	CD40_PATHWAY	TRAF3,JAK3,RELA,MAP3K1,FCAMR,CD40LG,STAT5A,TRAF1,MAPK14,JUN,BIRC3,MAPK9,MAPK11,IL4,CD40,MAPK10,MYC,AKT1,MAPK8,NFKB1,C4BPA,BCL2L1,TRAF2,NFKBIA,TDP2,CBLB,TNFAIP3,TRAF6,MAP3K14,BIRC2,MAP2K4
CDC42 SIGNALING EVENTS	CDC42_PATHWAY	ARHGDIA,PLD1,DIAPH3,MAPK8,F2RL2,APC,TNK2,MTOR,MAP2K3,PIK3CA,EPS8,PRKCE,PAK2,TIAM1,CDC42BPA,VAV2,CTNNA1,HES5,RPS6KB1,MAPK1,ENAH,MYL2,SRC,LIMK1,MAPK9,ACTR2,BCAR1,ARHGEF6,IQGAP3,ARHGEF7,MAPK3,ARPC5,PRKCZ,ATF2,PAK4,MAP2K4,ARPC1B,WASL,ARPC3,MAP2K6,PAK1,JUN,RAC1,GSK3B,MAP3K11,CDH1,YES1,BRAF,RASGRF1,MAP3K1,PARD6A,ARPC2,DLG1,ACTR3,CTNNB1,RAF1,PAX6,LIMK2,PIK3R1,ARPC4,MAP2K7,HRAS,CDC42,CFL1,MAPK14,BAIAP2,IQGAP1,SEPT2,CBL,EXOC7
CELLULAR ROLES OF ANTHRAX TOXIN	ANTHRAXPATHWAY	PAGA,MAP2K4,MAP2K1,TNF,PGR,IL1B,CASP1,VCAM1,DEFA1,DEFA1B,MAP2K2,ANTXR1,LEF,ANTXR2,MAPK1,MAPK3,CALM1,CALM2,CALM3,MAP2K3,NLRP1,IL18,CYA,MAP2K7,MAP2K6
CERAMIDE SIGNALING PATHWAY	CERAMIDE_PATHWAY	BID,MAP2K1,PDGFA,PRKRA,FADD,KSR1,SMPD1,MAPK3,PAWR,MAP2K2,TRADD,NSMAF,TNFRSF1A,MAPK1,MYC,AKT1,RIPK1,NFKB1,NFKBIA,MAPK8,ASAH1,EIF2AK2,CTSD,RB1,BAX,RAF1,AIFM1,PRKCD,RELA,BAD,EIF2A,BCL2,MAP2K4,BAG4,CRADD,SMPD3,MAP3K1,PRKCZ,TNF,CYCS,MADD,TRAF2,MAP4K4,IGF1,SPHK2,EGF,BIRC3,CASP8
CIRCADIAN RHYTHM PATHWAY	CIRCADIANPATHWAY	ATR,NPAS2,PER2,CSNK1E,TIMELESS,ARNTL,BHLHE40,CHEK1,CRY2,NR1D1,WDR5,CRY1,DEC1,CLOCK,NONO,PER1
CLASS I PI3K SIGNALING EVENTS	PI3KCIPATHWAY	KRAS,CYTH1,ARF1,PLEKHA1,BLNK,YES1,LCK,DAPP1,PIK3CB,PIK3R6,PLCG2,FYN,LAT,PLEKHA2,RAP1A,BLK,PTEN,SYK,HCK,PIK3CA,SGK1,ARF5,ITK,HRAS,CYTH3,ARF6,RAC1,PIK3CG,SRC,PIK3R1,HSP90AA1,RHOA,INPP5D,ARAP3,PIK3R2,ZAP70,PLCG1,INPPL1,FGR,CYTH2,PIK3CD,PIK3R5,BTK,PDPK1,LYN,FOXO3,NRAS,PIK3R3,ADAP1
CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT	PI3KCIAKTPATHWAY	FOXO4,CDKN1B,RICTOR,RAF1,PRKACA,MTOR,GSK3B,BAD,YWHAB,YWHAE,KPNA1,PRKDC,YWHAZ,CASP9,HSP90AA1,MAP3K5,CHUK,AKT2,FOXO3,BCL2L1,SFN,MAPKAP1,SRC,SLC2A4,CDKN1A,AKT1,MLST8,TBC1D4,PDPK1,YWHAQ,YWHAG,FOXO1,GSK3A,AKT3,YWHAH
CLASS IB PI3K NON-LIPID KINASE EVENTS	PI3KCIBPATHWAY	MAP2K1,PIK3R5,PIK3R6,PDE3B,PIK3CG,MAPK1
COREGULATION OF ANDROGEN RECEPTOR ACTIVITY	AR_PATHWAY	AKT1,PAWR,HNRNPA1,PTK2B,NCOA4,CDK6,FHL2,CTDSP1,GSN,KLK3,KLK2,BRCA1,NRIP1,SVIL,VAV3,CTNNB1,CASP8,CTDSP2,RANBP9,CARM1,CDK11B,APPL1,HIP1,UBA3,TMPRSS2,NKX3-1,NCOA2,CDKN2A,RPS6KA3,PIAS4,KDM3A,PA2G4,KDM4C,MED1,FKBP4,CCND1,UBE3A,TMF1,PRDX1,PIAS1,XRCC6,CCND3,LATS2,UBE2I,TGIF1,ZNF318,XRCC5,PELP1,CMTM2,KDM1A,PRKDC,SRF,SNURF,TGFB1I1,ZMIZ1,PATZ1,AR,MAK,PIAS3,NCOA6,TCF4
CXCR3-MEDIATED SIGNALING EVENTS	CXCR3PATHWAY	MAP2K1,RICTOR,GNG2,ITGB2,KRAS,CCL11,MAPK11,MAPK14,CXCR3,DNM1,CXCL9,NRAS,CXCL11,MAPK1,PIK3R1,MLST8,PIK3CB,MAP2K2,MTOR,GNAI3,PF4,GNAO1,PDPK1,MAP2K6,GNAZ,GNAI2,SRC,PIK3R2,CXCL13,ARRB1,AKT1,CXCL10,HRAS,MAPK3,ITGAL,RAF1,PIK3CA,MAPKAP1,GNAI1,GNB1,PIK3CD,PIK3R3,MAP2K3
CXCR4-MEDIATED SIGNALING EVENTS	CXCR4_PATHWAY	MMP9,ITGA8,HGS,PTPN6,ITGA7,ITGA2,GNAZ,RGS1,RAC1,PTEN,HLA-DRB1,RALB,ITGAV,PTK2,LCK,LIMK1,PTPRC,PDPK1,RHOC,PLCB2,PLCB1,PTPN11,RHOB,VAV1,RAP1B,PAG1,GNB2L1,STAT3,VPS4B,PLCB3,ITCH,GNAO1,FGR,LYN,STAT2,CFL1,ARRB2,ARR3,ITGA5,PIK3CB,ITGA4,GNAI3,BAD,ADRBK1,ITGA11,GNA13,HLA-DRA,SSH1,PAK1,GNAI1,INPP5D,RHOA,ITGA10,ITGA6,SRC,CD3E,GNG2,PIK3R6,GNB1,STAT5B,CXCL12,CRK,PIK3R5,PIK3R1,ITGA9,PIK3R2,GRK6,ITGA1,PTK2B,CSK,HCK,CD247,VPS4A,CD3D,GNAI2,BCAR1,CXCR4,BLK,PIK3CG,MTOR,PIK3CA,RICTOR,FOXO1,CD4,PXN,ITGB1,UBQLN1,STAT5A,STAT1,PIK3R3,YES1,PRKCZ,AKT1,MAPKAP1,MLST8,FYN,CD3G,PIK3CD,ITGA3,CDC42,DNM1,JAK2
DEGRADATION OF BETA CATENIN	BETACATENIN_DEG_PATHWAY	LRP6,WNT3A,AXIN2,SKP1,AXIN1,GSK3B,SSPO,DVL2,CSNK1D,DVL1,CUL1,APC,CTNNB1,GSK3A,CSNK1E,CSNK1A1,FZD5,DVL3
DIRECT P53 EFFECTORS	P53DOWNSTREAMPATHWAY	DDIT4,FDXR,TNFRSF10A,CCNK,DROSHA,JMY,SERPINB5,E2F3,IGFBP3,GPX1,ATF3,MAP4K4,BNIP3L,ZNF385A,TSC2,BCL2L14,TP63,BCL2,RNF144B,FOXA1,TP53,CASP1,MMP2,C12ORF5,TP73,TNFRSF10D,PERP,SP1,BBC3,PRKAB1,TYRP1,CEBPZ,NFYB,E2F2,PYCARD,PCNA,MLH1,BAK1,SMARCA4,VCAN,DUSP1,JUN,CARM1,TAF9,RFWD2,RPS27L,SESN1,CSE1L,IRF5,PRDM1,AFP,HSPA1A,HSPA1B,MDM2,CD82,NFYA,CCNG1,MET,PTEN,PPM1J,STEAP3,TFDP1,CAV1,TAP1,CX3CL1,POU4F1,CCNB1,FAS,ARID3A,HGF,PML,DDX5,BDKRB2,HIC1,TP53I3,TGFA,GADD45A,APC,DGCR8,SERPINE1,NFYC,BTG2,SH2D1A,PRMT1,BCL2A1,BAX,TRIAP1,RB1,VDR,RGCC,KAT2A,TRRAP,TNFRSF10B,AIFM2,HTT,EP300,NDRG1,DDB2,MSH2,PPP1R13B,CASP10,GDF15,PIDD,SPP1,LIF,TNFRSF10C,CASP6,EGFR,PLK3,TP53INP1,RRM2B,SCN3B,SNAI2,DKK1,CTSD,EPHA2,COL18A1,RCHY1,PCBP4,SFN,BCL2L2,E2F1,POU4F2,BCL6,BID,S100A2,PMS2,BCL2L1,DUSP5,APAF1,CDKN1A,CREBBP,TP53BP2,TADA2B,HDAC2,MCL1,EDN2,NLRC4,PMAIP1
DNA-PK PATHWAY IN NONHOMOLOGOUS END JOINING	DNAPK_PATHWAY	PRKDC,XRCC6,APLF,CSNK2A1,XRCC5,POLL,APTX,CSNK2A2,XRCC4,DNTT,LIG4,DCLRE1C,NHEJ1,PNKP,CSNK2B,POLM
DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS	CD8TCRDOWNSTREAMPATHWAY	NRAS,CD3G,HLA-A,PRKCB,IFNA6,CD8B,PRF1,TNFRSF4,IL2RB,MAP2K2,IL2,EGR1,IFNA17,GZMB,IFNA4,FASLG,STAT4,PPP3CA,HRAS,EGR4,CD8A,PRKCE,TNF,NFATC1,FOSL1,PPP3CB,ELK1,IFNA5,IFNG,IFNAR2,JUN,IL2RG,PRKCQ,KRAS,RAF1,TNFRSF9,PPP3R1,NFATC2,MAPK3,MAPK8,FOS,MAPK1,CD3D,IFNA21,NFATC3,IFNA2,IFNAR1,CD3E,MAPK9,IFNA16,CD247,JUNB,IFNA14,CALM1,CALM2,CALM3,BRAF,IFNA1,IFNA13,MAP2K1,PTPN7,EOMES,PRKCA,IFNA10,IFNA7,IL2RA,TNFRSF18,B2M,IFNA8
E-CADHERIN SIGNALING EVENTS	ECADHERIN_1_PATHWAY	CTNNB1,CDH1,JUP
E-CADHERIN SIGNALING IN KERATINOCYTES	ECADHERIN_KERATINOCYTE_PATHWAY	CDH1,JUP,AKT2,PLCG1,VASP,RAC1,CTNNB1,FYN,PIK3R1,AJUBA,AKT1,EGFR,PIP5K1A,RHOA,CTNNA1,CASR,SRC,FMN1,ZYX,PIK3CA,CTNND1
E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION	ECADHERIN_NASCENTAJ_PATHWAY	ITGAE,TJP1,CYFIP2,RAPGEF1,CTTN,CRK,TIAM1,PIP5K1C,CTNNA1,MLLT4,WASF2,JUP,CSNK2B,DLG1,CTNND1,CSNK2A1,IQGAP1,ITGB7,KLHL20,PIK3CA,ARF6,ENAH,RHOA,RAC1,CSNK2A2,CTNNB1,PIK3R1,SRC,NME1,ABI1,RAP1B,NCKAP1,RAP1A,CCND1,CDH1,AP1M1,VAV2,CDC42,AKT1
